Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.7152505173988661,1.5331871769163343,1.5300669458177354,0.30542009196042913,0.40997770345596435,0.40022296544035674
2,1.5053808194349072,1.3882704369227092,1.3744582801394993,0.41493660303748087,0.4690635451505017,0.4682274247491639
3,1.406576743497822,1.3409920267264048,1.3332159561581083,0.4589313083461056,0.4721293199554069,0.47575250836120403
4,1.3299016574631162,1.2771187432607014,1.2550968103938633,0.49153546049881564,0.5086399108138239,0.512263099219621
5,1.2643298164051555,1.2194550626807743,1.1971745167838204,0.5221889368817054,0.5420847268673356,0.5448717948717948
6,1.2090433679583346,1.2167503665553199,1.1648782348632813,0.5449700431935349,0.5392976588628763,0.5496098104793757
7,1.1625502250984852,1.1796825957298278,1.1473338887426587,0.5655566392643165,0.5540691192865106,0.5551839464882943
8,1.1140398834907246,1.182261489364836,1.141432048479716,0.5874669081789048,0.5574136008918618,0.5671683389074693
9,1.0687599981893736,1.1570958176586363,1.134937369691001,0.6047094886442803,0.5696767001114827,0.5811036789297659
10,1.022174955277722,1.134266540474362,1.0883075759145948,0.6256095861780688,0.5808249721293199,0.6042363433667781
11,0.9808392440542205,1.1580755452315012,1.1116732245021397,0.6412846593284102,0.5819397993311036,0.5844481605351171
12,0.9350816016409722,1.1157059812545775,1.0715145930978986,0.6590497422321304,0.5866778149386845,0.6103678929765887
13,0.8977016081218931,1.1239779109425014,1.0848023684819539,0.6743416469276856,0.5900222965440357,0.5992196209587514
14,0.8549833547604118,1.131361294190089,1.0849428506692251,0.6891807161766755,0.5930880713489409,0.6003344481605352
15,0.8147590942452545,1.14160313434071,1.100220189889272,0.708791974362547,0.5897435897435898,0.592530657748049
16,0.7749438437827783,1.1790364460812675,1.161616178618537,0.7213320328828201,0.5905797101449275,0.596711259754738
17,0.7319180584800609,1.245421420401997,1.1964394448863136,0.7367981050578236,0.5811036789297659,0.6003344481605352
18,0.6900052594607254,1.2053507126039928,1.127674830754598,0.7534485160930751,0.5894648829431438,0.6089743589743589
19,0.6568762010352526,1.243995652794838,1.1554290337032742,0.7680089173749477,0.5911371237458194,0.6156633221850614
20,0.6128807091488812,1.301062605579694,1.2410068198045094,0.7839278249965167,0.5886287625418061,0.6109253065774805
21,0.5789258948026593,1.2680067576302423,1.2207940713564556,0.798314058798941,0.5975473801560758,0.6100891861761427
22,0.5453998075346761,1.4013693674405416,1.2905572674009536,0.8122474571548001,0.5774804905239688,0.5972686733556298
23,0.5139571706564645,1.3393311202526093,1.261365479098426,0.8224885049463564,0.596711259754738,0.6098104793756968
24,0.4894368769938235,1.4162070679664611,1.3232335544957055,0.8279225303051414,0.5950390189520625,0.6089743589743589
25,0.46572325696395633,1.3401524641778735,1.286059652434455,0.8404625888254145,0.6042363433667781,0.6164994425863991
26,0.42247612443350485,1.4830560009347067,1.376056194835239,0.8534206492963634,0.600891861761427,0.6156633221850614
27,0.403058025066567,1.4321481023563278,1.3918407270643447,0.8616065208304305,0.6089743589743589,0.6061872909698997
28,0.3618735092616845,1.4270580436786016,1.3785201594564649,0.877664762435558,0.6081382385730212,0.6137123745819398
29,0.3556119892258498,1.4906194174289704,1.392150100072225,0.8774557614602202,0.6003344481605352,0.6176142697881828
30,0.3302268613098724,1.5073691888650258,1.414941622018814,0.8876271422599972,0.6095317725752508,0.6237458193979933
31,0.3058140118193909,1.5957770878738826,1.4697761585977343,0.897728856067995,0.5891861761426979,0.6064659977703456
32,0.288051814734832,1.577293091126614,1.4864798058403863,0.9042775532952487,0.60479375696767,0.6243032329988851
33,0.26882229671816144,1.6167694109678268,1.5115660725037257,0.9110352514978404,0.6039576365663322,0.6226309921962095
34,0.2524049358893819,1.6901383746332592,1.5924117982387542,0.916608610840184,0.5930880713489409,0.6059085841694537
35,0.2415085704122932,1.6331227413151,1.5541488503747516,0.918768287585342,0.6067447045707915,0.6098104793756968
36,0.23577803587203736,1.6507897622386614,1.537546263138453,0.9215549672565139,0.5981047937569677,0.6145484949832776
