epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1_score,val_auroc
1,1.6203101383186482,0.377898633480072,1.4117065347565545,0.47324416041374207,0.37492942810058594,0.3910340964794159,0.37129688262939453,0.7805098295211792
2,1.3086189574203306,0.5120914578437805,1.198357781569163,0.5471014380455017,0.5167182087898254,0.45398327708244324,0.4444449543952942,0.851163923740387
3,1.1603182138276185,0.5691530704498291,1.083386079205407,0.593366801738739,0.5961979627609253,0.5205191373825073,0.5298882126808167,0.8797043561935425
4,1.0596601862868444,0.6092093586921692,1.0204288919766744,0.6265329122543335,0.6231871247291565,0.5592890977859497,0.5698904991149902,0.893639862537384
5,0.9767544078690004,0.6411771178245544,0.9509915676381853,0.6518952250480652,0.6390485763549805,0.6137081384658813,0.6204765439033508,0.9100866913795471
6,0.9011624728990949,0.6705499291419983,0.9000529509120517,0.6769788265228271,0.6642255783081055,0.6431509256362915,0.6508911848068237,0.9194804430007935
7,0.8245233248379542,0.7007784843444824,0.8667234415478177,0.6878483891487122,0.6586827039718628,0.673498809337616,0.661689043045044,0.9268844127655029
8,0.7524652419078687,0.7275010943412781,0.8237230815490086,0.7042920589447021,0.6984428763389587,0.682510256767273,0.6889023184776306,0.9331226944923401
9,0.6737283274807799,0.7574536204338074,0.782735153403547,0.7299330830574036,0.7262369394302368,0.7238104343414307,0.721663236618042,0.9399948716163635
10,0.5912328025214243,0.791077733039856,0.7436813862456215,0.7469342350959778,0.7280263900756836,0.738174319267273,0.7317142486572266,0.9457076787948608
11,0.509573491586392,0.8205885887145996,0.7112751926978429,0.7527870535850525,0.7357358336448669,0.7458197474479675,0.7387720346450806,0.951967716217041
12,0.42622834603983395,0.8524734973907471,0.6998242889841397,0.7664437294006348,0.757185697555542,0.7570265531539917,0.7563174962997437,0.954616367816925
13,0.3530496366407604,0.8803003430366516,0.6733632197644975,0.7792642116546631,0.7730851173400879,0.7745751142501831,0.7731854915618896,0.9585312604904175
14,0.2943892233639745,0.9010877013206482,0.6661672264006403,0.7845596671104431,0.7738921642303467,0.7835698127746582,0.7776809334754944,0.9607131481170654
15,0.23558768214470321,0.9231448769569397,0.6447806625730461,0.8037903904914856,0.78898686170578,0.8023443222045898,0.7946298122406006,0.9654679298400879
16,0.20030118922773724,0.9344357252120972,0.6423183639844259,0.8023968935012817,0.8040032386779785,0.7976583242416382,0.8005874156951904,0.9666353464126587
17,0.16321058204692093,0.9489840865135193,0.6662434610724449,0.8121516108512878,0.7992894649505615,0.8077795505523682,0.8032513856887817,0.9660459756851196
