Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,1.9008387926262869,1.8817700318691442,0.25912228796844183,0.30030959752321984
2,1.8051598312485386,1.8115002136059406,0.31241194702733166,0.3498452012383901
3,1.6803745318130707,1.5649925895335963,0.36992814877430263,0.4520123839009288
4,1.5460359179805703,1.4054976129745689,0.4660819949281488,0.5609344216155362
5,1.420181959246246,1.275983131018722,0.5179275852352775,0.5586828032648467
6,1.3276095552511618,1.1854170277764846,0.5306776556776557,0.6006191950464397
7,1.2614464546257342,1.1444444072186413,0.5485700197238659,0.6076555023923444
8,1.1732625585542598,1.133423190162989,0.574668920822767,0.6107514776245426
9,1.1007279724806127,1.07940804784608,0.5969991546914624,0.6214466647903181
10,1.0282672881660326,1.0873616987947925,0.6143984220907298,0.6391781593019983
11,0.9772027411847047,1.0935714440127926,0.6327486615948155,0.6231353785533352
12,0.9134904552345544,1.0598989564407566,0.6510284587207664,0.6476217281170842
13,0.8662435923411813,0.9828652280545689,0.664025077486616,0.6783000281452294
14,0.8171405145693833,1.0263870557438115,0.6792406311637081,0.6757669575007036
15,0.7604202825628535,1.0722314962290327,0.699668920822767,0.6754855052068675
16,0.7363010061374853,1.0351469200856216,0.7066074950690335,0.6366450886574726
17,0.6987242423774491,1.1289529135626126,0.7183009298393914,0.6555023923444976
18,0.6580211613337759,0.9942300921805086,0.7331290504367427,0.6802701942020828
19,0.6241437469359855,0.9860598386971138,0.7428148774302621,0.698001688713763
20,0.5836215184020325,1.0678975879728394,0.7538743307974077,0.7002533070644525
21,0.5694142623749417,0.9714909457140122,0.7651803324880248,0.7188291584576414
22,0.5321556358564068,1.0279181893098464,0.7741265145111299,0.7123557556994089
23,0.5019307582793942,1.027135390067899,0.7884967596506058,0.7123557556994089
24,0.47423063836676976,1.1033912169381104,0.7995562130177515,0.7123557556994089
25,0.431519586157421,1.0900783587639709,0.812447168216399,0.7236138474528567
26,0.4098733341546965,1.0816041870286197,0.8192448577063962,0.7258654658035463
27,0.39155795093678253,1.116067826043921,0.8288602423217808,0.7264283703912187
28,0.3660947029502459,1.127576896998193,0.8372781065088757,0.7323388685617788
29,0.3620961058459861,1.1319676655355888,0.8470695970695971,0.731213059386434
30,0.31987730158624095,1.1980448841472098,0.8583051563820795,0.7303687025049254
31,0.32199053469782984,1.2084893981995053,0.8543251620174697,0.7368421052631579
32,0.2970793010409869,1.2823598562737701,0.8679557621865314,0.729805797917253
33,0.29669360747429685,1.1937887989908076,0.8732037193575655,0.7281170841542358
34,0.2785091427797583,1.1897233488782615,0.8792969850662158,0.7382493667323389
35,0.2662641983303491,1.3236687524502908,0.8851084812623274,0.741345341964537
36,0.2557306415456492,1.3002184088014441,0.8903212172442941,0.7447227694905714
37,0.2114722034723406,1.3629581385711116,0.9044449140602987,0.742752603433718
38,0.2218558294457239,1.3702799605801828,0.9038461538461539,0.731213059386434
39,0.20680828815378563,1.4115735856185676,0.9099041983657369,0.7236138474528567
40,0.20171738239398723,1.4650621858504789,0.9146238377007607,0.7013791162397973
41,0.22989292912473772,1.4282783929123768,0.8982459847844463,0.7289614410357445
42,0.1526301494159434,1.368692674940857,0.9333262890955198,0.7447227694905714
43,0.12420681490510388,1.5053609019179823,0.9463229078613694,0.7537292428933295
44,0.10661252730447326,1.5789837772383442,0.9551634263172725,0.7649873346467774
45,0.09947396687107345,1.594845836061967,0.9575584671738517,0.7618913594145792
46,0.08898445640533217,1.6491938872247696,0.9630881938574246,0.7613284548269068
47,0.07972980696052102,1.6926203047710646,0.9647435897435898,0.7610470025330707
48,0.07870823949650849,1.7021528681717375,0.9673499577345731,0.764424430059105
49,0.08234924788713048,1.7302819425762017,0.9671738517892364,0.7599211933577259
50,0.06602090909601596,1.7166043326341598,0.9735841081994928,0.7551365043625106
51,0.05655986864000073,1.7106024833607862,0.9764370245139475,0.7624542640022516
