Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.465816168834669,1.3101027953810025,1.2681069284056623,0.39214332141696456,0.5008135372600065,0.507355344883949
2,1.180296395218473,1.0834787489527866,1.0553814182057977,0.5493987650308743,0.5847705824926782,0.5985616214449166
3,1.0773949421521052,1.0459750512412176,1.020027016910414,0.593638284042899,0.6121054344288969,0.6240601503759399
4,0.9887680293407589,0.945909971323038,0.9074338669888675,0.6303217419564511,0.6534331272372275,0.6629617522066035
5,0.931756239246439,0.9059038069581739,0.8639502194710076,0.6519337016574586,0.6563618613732509,0.6786531546256946
6,0.8689586128446481,0.817019022190509,0.7654727910024425,0.6721644458888528,0.6921575008135372,0.7185354691075515
7,0.8181543825623895,0.8230661130630909,0.7815883456108471,0.6925170620734482,0.6911812561015295,0.719843085975809
8,0.774262532649914,0.7477626044283877,0.6950179341559609,0.7129103022424439,0.715261958997722,0.7508989865969271
9,0.7207877281290745,0.8005163497412143,0.7653012162384888,0.7323285667858304,0.6967133094695737,0.7064400130761687
10,0.6883030537373064,0.7006237903716033,0.6692447312331448,0.7455719857003575,0.7344614383338757,0.7450147106897679
11,0.6378742447044262,0.7503468656400942,0.6837025527687123,0.7626340591485213,0.7035470224536283,0.7374959136972867
12,0.6207410735286932,0.6937153092706142,0.6438114204599211,0.7707994800129997,0.7432476407419459,0.7610330173259235
13,0.5620533361876066,0.7241341528806045,0.6873791493320217,0.7939145271368215,0.7338106085258704,0.7489375612945407
14,0.552276030938063,0.6702448140849103,0.6246050218275437,0.7995612609684758,0.7530100878620241,0.769532526969598
15,0.5005485326719795,0.7120295452253188,0.6819146668616062,0.8202388690282743,0.7409697364139277,0.7518796992481203
16,0.49299271729586575,0.6838093550557299,0.647068195665876,0.8245450113747156,0.7666775138301334,0.7747629944426283
17,0.44099748806811295,0.7258789663642181,0.6714882293017581,0.8394946376340592,0.7468272046859746,0.7597254004576659
18,0.43555107556859574,0.677982685093435,0.6192042770950744,0.8465225869353267,0.7712333224861698,0.7842432167374959
19,0.38677994752468575,0.758364288049504,0.6879846666318675,0.862812804679883,0.7419459811259356,0.7508989865969271
20,0.3860400273955395,0.719485652743998,0.6826535616613304,0.8597253818654533,0.7728603970061829,0.7718208564890487
21,0.3315680995958726,0.7439474108112599,0.7008113063250979,0.8820685732856679,0.7552879921900423,0.7678980058842759
22,0.3473608157366921,0.7014379562626694,0.6622687662408376,0.8766249593760156,0.7767653758542141,0.7809741745668519
23,0.2882340510858101,0.7816227398079294,0.7608808058624467,0.9006743581410465,0.7585421412300684,0.7551487414187643
24,0.30076222545319053,0.7456561277953454,0.6988028294872493,0.8958807279818004,0.7800195248942402,0.7799934619156587
25,0.2584509726781991,0.8289027156916307,0.7971473510066668,0.9107491062723432,0.738366417181907,0.7473030402092187
26,0.27178447243235304,0.7791414429370912,0.7129139156313613,0.9054679883002925,0.773511226814188,0.7819548872180451
27,0.22224882928759848,0.849600460592638,0.7860031882689024,0.9246425089372766,0.746501789781972,0.7502451781627983
28,0.24003438209864306,0.7987352735387074,0.7528084690566175,0.9161520961975951,0.7783924503742271,0.7770513239620791
29,0.1962816265300933,0.849337207529829,0.8285467351476351,0.9334985375365615,0.7461763748779694,0.7525335076822491
30,0.21145676504826635,0.8178767528616548,0.7767871208003877,0.9250081247968801,0.7770907907582167,0.7718208564890487
31,0.1783546489319093,0.8838658264495548,0.8715763105622804,0.9383734156646084,0.7442238854539538,0.7420725727361883
32,0.19275887203726572,0.8646935097911815,0.8073354005658379,0.9339047773805654,0.7757891311422063,0.7728015691402419
33,0.15936237310565876,0.9198870393085665,0.8594921734960129,0.9474731881702957,0.7624471200780996,0.7580908793723439
34,0.1708041924074482,0.8547466353662891,0.8560129431037543,0.9436545336366591,0.7764399609502115,0.7728015691402419
