Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,1.3110837149052392,1.9232972040772438,0.14476535155598944,0.07937395192845165
2,1.1323086486543927,1.942844654034291,0.23341031929331651,0.1593068753493572
3,0.9803261241799309,1.7483561313045877,0.32615062263387223,0.26830631637786473
4,0.8981877274626777,1.5863626785576344,0.3623895807043025,0.33370598099496923
5,0.8382714242253985,1.6340140838708197,0.39710469296888024,0.3378982671883734
6,0.7901897231113343,1.491777451975005,0.4276054191766471,0.41643376187814424
7,0.7403750083503269,1.586493544280529,0.46255863234838923,0.40217998882057016
8,0.7041082682382492,1.3746715616434813,0.4871306459677611,0.4572386808272778
9,0.6684020142157873,1.3518203097794737,0.5101550036905641,0.48183342649524874
10,0.6453941379047575,1.339838746669037,0.5240124764875355,0.4823923979877026
11,0.6145518558990388,1.29066538198718,0.5409652610776448,0.5041922861934042
12,0.591032752993561,1.2930722832679749,0.5580370961213362,0.5064281721632197
13,0.5697162073708716,1.2736726733190673,0.5747993999857139,0.5173281162660704
14,0.5527671608243669,1.295494475268892,0.5885140122383866,0.5198434879821129
15,0.5334881575902303,1.268396065437368,0.6047524941070026,0.5324203465623253
16,0.5043195755737169,1.2659109974546092,0.6255148932117431,0.5433202906651761
17,0.48869429684536797,1.2499655964119094,0.6367770661206219,0.5449972051425377
18,0.4841997044739269,1.2488469239324331,0.6459677611371699,0.5430408049189491
19,0.45917476541087743,1.2795436031052045,0.6627062549108312,0.5528228060368922
20,0.43723201362575803,1.2647405732423067,0.6776351817900427,0.5564561207378423
21,0.41578352145353953,1.2007801184164626,0.6908735922283864,0.5721073225265512
22,0.4089946833962486,1.281805906311742,0.7024214862258625,0.5508664058133035
23,0.38815288026985667,1.2395095595025591,0.7176123241029548,0.5620458356623812
24,0.3788109824401992,1.237299942012344,0.7280887640181909,0.5715483510340973
25,0.3668138258811973,1.2546693582886033,0.7382556727541132,0.5695919508105086
26,0.33973230236059143,1.2636044071987271,0.7565894426057763,0.5832867523756289
27,0.32200129605829714,1.4125309400260448,0.7684230576918498,0.563163778647289
28,0.30317909895948003,1.3714737775070327,0.7827329222124336,0.5813303521520402
29,0.29207448050024964,1.428448952202286,0.7937808043048644,0.5746226942425936
30,0.2879259296875624,1.3586660771231567,0.8000666682540061,0.5771380659586361
31,0.26480295412455285,1.3915961096728486,0.8135193695087978,0.591950810508664
32,0.26118638951366857,1.4405515699514322,0.8194957022786257,0.5606484069312465
33,0.2522058821693063,1.3709490006523473,0.8251863139598562,0.57769703745109
34,0.24304983077304704,1.3786562325965082,0.8334484154384628,0.5735047512576859
35,0.21996830800636893,1.447176440086748,0.8477582799590466,0.5796534376746786
36,0.2058078475007344,1.4951996453372496,0.8588061620514774,0.5640022358859698
37,0.16236937609545532,1.5128170102834702,0.8910450248815448,0.5897149245388486
38,0.13168659303913868,1.5797437519899435,0.9097835662753875,0.5902738960313024
