Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,1.809222326874279,1.8970450398098728,0.22048668984237343,0.18424753867791843
2,1.6126036340738197,1.8989539162460465,0.29215676936997,0.21659634317862167
3,1.5265039661324669,1.732770649841548,0.3512548216581742,0.29226441631504924
4,1.4085831186377358,1.5393432269181906,0.4264012572027239,0.3991561181434599
5,1.3121363901946714,1.554948722835079,0.4886423163007762,0.4070323488045007
6,1.2191367886126359,1.4893263458136485,0.5369779513310158,0.45288326300984527
7,1.1322071750202165,1.459431476657166,0.5761226725082147,0.48523206751054854
8,1.0642549738980212,1.4890498460140997,0.6059336158864708,0.4962025316455696
9,1.002721933195451,1.641092254842878,0.628363255393114,0.5037974683544304
10,0.95808168557974,1.3857579390297021,0.6486975570265251,0.5476793248945148
11,0.905371592004882,1.6319541717324022,0.6691271012905377,0.5223628691983122
12,0.8656588098472615,2.017625576979376,0.6865565026906043,0.5049226441631505
13,0.822041689736736,1.8374768861740693,0.7010810038573265,0.5344585091420534
14,0.7769942912702241,1.7597857596093764,0.7210343349683318,0.5566807313642756
15,0.7342150724306419,1.9588465725359896,0.7377970379541883,0.5308016877637131
16,0.6944837784231481,1.966861909414086,0.7537501785799324,0.5412095639943741
17,0.6640561478494781,1.9212982952594757,0.7672270108100385,0.5606188466947961
18,0.6170653152617896,1.887382015519078,0.7833706366969856,0.5611814345991561
19,0.5904469803792779,2.1619764557734733,0.7925139292347254,0.5569620253164557
20,0.5590011550671076,1.6675162604036886,0.8055621696271251,0.5909985935302391
21,0.5239473226546152,1.8964174774730151,0.8165626934615934,0.5744022503516174
22,0.48774691014880456,2.2776751905813346,0.8302776322682033,0.579746835443038
23,0.4654042613603918,2.129282883197203,0.8399923805895518,0.569901547116737
24,0.43242170520960965,2.0291640798607213,0.8486118386589837,0.5842475386779185
25,0.4119420160638042,2.028369596921275,0.8596123624934521,0.5836849507735584
26,0.2999948745881408,2.4005560944099065,0.9004714510214772,0.579746835443038
27,0.2499263525890117,2.4814606068714316,0.9161864850707176,0.5848101265822785
