Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,1.8651686733616597,1.7635826624764337,0.22758211023933866,0.26226309921962093
2,1.6069923097994814,1.5592729428079393,0.36784397198227853,0.39158305462653287
3,1.4375686071877998,1.4615983210669623,0.44731826844541245,0.427536231884058
4,1.3371127530967821,1.4140049294630685,0.49290894240526695,0.44871794871794873
5,1.2704970212513176,1.3650931766298082,0.5208276613122788,0.47575250836120403
6,1.2082097310681996,1.3866613629129199,0.5442170135880999,0.4729654403567447
7,1.1510383999262739,1.3005055628882514,0.568175630522486,0.5086399108138239
8,1.0997042549996743,1.2479084114233652,0.589881939459941,0.5209030100334449
9,1.0543817301544045,1.26838124288453,0.6098804544217014,0.5256410256410257
10,1.0179435087991724,1.262818874915441,0.6260921218721383,0.5253623188405797
11,0.9687849195557554,1.2088840239577823,0.6446055985941638,0.5334448160535117
12,0.931145321527645,1.19716628074646,0.6612380268791921,0.5546265328874025
13,0.8906984960900727,1.2452511390050252,0.67492512932208,0.5429208472686734
14,0.8511640968911721,1.1720920933617487,0.689726010444769,0.5744147157190636
15,0.8158630706422969,1.1832462724049886,0.7023983367571714,0.5699554069119287
16,0.7748028816963507,1.205754940112432,0.7203425488206321,0.5668896321070234
17,0.7415761841624763,1.2238530900081,0.7344504120981116,0.5674470457079153
18,0.7030754337295217,1.2346508200963338,0.7484592728262752,0.5682831661092531
19,0.6676001441580194,1.2416693971554438,0.760512833205455,0.572742474916388
20,0.5383514246666657,1.2419964753919177,0.8102121129619088,0.584726867335563
21,0.4985989457894462,1.3001490202877257,0.8280325718387248,0.5772017837235228
22,0.45825121832402427,1.378111694322692,0.8399128777566023,0.5841694537346711
23,0.4361960019411922,1.406788237757153,0.8493181199415885,0.5863991081382386
24,0.4156627861100086,1.4422064824236764,0.8571888226121822,0.5758082497212932
25,0.3872842888944352,1.4673036397165722,0.8660990520505903,0.5763656633221851
26,0.37533015175777845,1.461165534324116,0.8690938791673886,0.584726867335563
27,0.3471541565961646,1.51992160876592,0.8808504318986214,0.5763656633221851
28,0.3374850357442457,1.5470345450109906,0.8855035517164567,0.5863991081382386
29,0.2556776105148256,1.5884603637456893,0.913867782095389,0.6075808249721293
30,0.2155070221495851,1.6679686176776887,0.9282479023834864,0.5942028985507246
31,0.1955317142979933,1.713848632176717,0.9346583174516744,0.5933667781493869
32,0.1855343145864735,1.7578641658690242,0.9390391802588917,0.5944816053511706
33,0.18150922416555249,1.7999082358678182,0.9396331955547855,0.5905797101449275
34,0.1685585520257517,1.797005270851983,0.9446328242952255,0.5897435897435898
35,0.13367294339147512,1.847328825990359,0.9558448630052224,0.5975473801560758
36,0.12128622985374174,1.8574132200744418,0.9601762245377818,0.6014492753623188
