Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.669120825219513,1.391330109753357,1.4050564932860905,0.334826621785511,0.46202786502375776,0.45574257425742576
2,1.3983171281367186,1.2675419025592976,1.280733490857897,0.46585649580476696,0.5052750261737939,0.4984158415841584
3,1.280650289707116,1.134346524490813,1.1465144480425347,0.5184516001287033,0.5664009019892083,0.5634653465346534
4,1.1962054355552247,1.0759304925665125,1.106481131260531,0.5522362200826672,0.590964000966417,0.5804950495049505
5,1.1263159772562583,1.0624914947163644,1.0942865976521485,0.5803529440883103,0.6033663525811388,0.5915841584158416
6,1.0663755317930181,0.9957394285014851,1.0477791864755033,0.6047075712199589,0.6253523395345092,0.6045544554455445
7,1.0174021929714856,0.9605252311841862,1.016168255076001,0.6247308368190481,0.6353386486268825,0.6216831683168317
8,0.965079379088805,0.9770899354030727,1.02746552384541,0.646783654679108,0.630184424579206,0.615049504950495
9,0.9190747723372702,0.8997765985656736,0.9587335226279271,0.6666336658168948,0.669082709189015,0.6435643564356436
10,0.881662580357925,0.9170988143219144,0.9931663680774502,0.6799742593371779,0.6594990738503664,0.6382178217821782
11,0.8357445438667507,0.8912720426322563,0.9664350651393209,0.6928198401108828,0.6749617459933962,0.6491089108910891
12,0.7958867905391579,0.8712570730361853,0.9583028586510616,0.7123728436007227,0.6808407827977773,0.6536633663366337
13,0.758460986223706,0.9126978340142788,1.016253714980204,0.7275202336460164,0.6717403559635983,0.6399009900990099
14,0.7189907737648497,0.8326621443186641,0.930102368628111,0.7431378858005594,0.7011355399855037,0.6688118811881189
15,0.683727327395033,0.8514736623358236,0.9576730755028091,0.7567754869687895,0.6971088024482565,0.6554455445544555
16,0.6454451181236375,0.8638196564069739,0.9744213051339493,0.7696953196544811,0.6994443102198599,0.6673267326732674
17,0.610597325714566,0.8679886714026734,0.9760983367155813,0.7832091676360666,0.7028267697511477,0.6713861386138614
18,0.5857214309121773,0.8722685699373905,0.9941431587750588,0.793703437863525,0.7041153257630668,0.6667326732673268
19,0.5489100017839259,0.8698457869925228,0.9787677679611724,0.8066975224612034,0.7108802448256423,0.6671287128712872
20,0.5216026587333598,0.8630850155282875,1.0074280969845721,0.8195678538722372,0.7147459128613997,0.6700990099009901
21,0.4844163662782757,0.91377167719173,1.0670820850940845,0.8304086330223003,0.7006523314810341,0.6577227722772278
22,0.46004818674687203,0.9129372464260386,1.0670960170181492,0.8396901220206421,0.703793186760087,0.6662376237623763
23,0.42818362007739047,0.9099362479472483,1.0660155483910554,0.8519911887731109,0.7208665539180156,0.6735643564356436
24,0.4048244538174991,0.9163748817985813,1.0694886645231443,0.8582035987426676,0.7168398163807683,0.6630693069306931
25,0.3804832456953475,0.9202104053782788,1.055220501709588,0.8687721208821128,0.721832970926955,0.6748514851485149
26,0.35600621711465685,0.9778600765728994,1.157042712603896,0.8776823503205208,0.7296448417492147,0.675940594059406
27,0.3387864063392885,0.9981900100803609,1.1609390517696738,0.8834244981808281,0.723282596440364,0.6747524752475248
28,0.321666428092233,1.0077160028201388,1.184916390212182,0.8911961983021063,0.7284368204880406,0.6807920792079208
29,0.29072077358244774,1.010340529634375,1.2057369124038215,0.9004034353884612,0.733832648787952,0.6757425742574258
30,0.2845249483037389,0.9688021952185679,1.1771403728642418,0.9023092344627874,0.7352822743013611,0.6756435643564357
31,0.25975758302551255,1.028759938282976,1.2182537054147902,0.911615474098458,0.7358460175565756,0.6811881188118812
32,0.245042652841097,1.0456456724975913,1.237927644958578,0.9195851793183675,0.7370540388177499,0.6804950495049505
33,0.2329855384341989,1.047905026455296,1.250956273071845,0.9210207162834443,0.7364902955625352,0.6768316831683169
